ID,State,Name,Category,Income,Qualification,Description,LINKS,Type
36,Maharashtra,Goonj Grassroots Fellowship,all,0, matriculation exam,"Goonj Grassroots Fellowship 2023-24 is offered by Goonj (a non-profit organisation) to students who have passed their matriculation examination. It is a year-long programme where fellows will be working in various areas by engaging with the communities on the ground. The selected candidate will receive a monthly emolument of up to INR 12,000 per month.",https://goonj.org/goonj-fellowship/?gclid=Cj0KCQiApKagBhC1ARIsAFc7Mc5ibcLqTKKWrD08jS8aFqke-ot3XDhUYIPbYQueHLZVoppCEFmp3NsaAmyCEALw_wcB## ,Private
37,Maharashtra,CSIR-HRDG Research Associateship,all,0,engineering,"CSIR-HRDG Research Associateship 2023 is an opportunity offered by the Human Resource Development Group of Council of Scientific and Industrial Research (CSIR), New Delhi to graduates and postgraduates in various fields of Science and Technology. In this associateship, the applicants will be trained under expert guidance from faculty members/scientists working in universities and have access to different institutes and laboratories of various government departments. A monthly stipend of up to INR 54,000 and other benefits will be provided to the selected applicants during the entire tenure of the associateship.",https://srfra.csirhrdg.res.in/online/control?_inx ,Private
38,Maharashtra,SOF International Commerce Olympiad (ICO),all,0,Classes 11 and 12,"SOF International Commerce Olympiad (ICO) 2023-24 is an opportunity offered by the Science Olympiad Foundation (SOF)* in partnership with the Institute of Company Secretaries of India (a statutory body under an Act of Parliament, under the administrative control of The Ministry of Corporate Affairs). Students of Classes 11 and 12 are eligible to participate. It is a single-level examination conducted every year in which the students showcase their talent at the school level, zonal level, and international level. The selected students stand a chance to get up to INR 1,00,000 and other benefits.",https://sofworld.org/ico/about-ico-exam/how-participate,Private
39,Maharashtra,Dr. Reddy's Foundation Sashakt Scholarship,all ,0,"B.Tech., M.B.B.S. or B.Sc.","Dr. Reddy's Foundation Sashakt Scholarship 2023 is an opportunity offered by Dr. Reddy's Foundation (NGO) to encourage young women across India to pursue a career in science. The scholarship is a one-of-its-kind initiative to encourage young women across India to prepare for and pursue a career in science. It provides a level playing ground to girl students, especially from rural India and low socio-economic backgrounds, to get access to quality education in some of India’s best science institutions by offering financial support and mentorship throughout their undergraduate studies. The scholarships are limited to students securing admissions in the 12 specified science colleges. The selected fellows will receive a scholarship worth INR 2.4 lakhs (INR 80,000 per annum) for 3 years of study.", https://www.sashaktscholarship.org/how-to-apply/ ,Private
40,Maharashtra,VAIBHAV Fellowship,all ,0,Ph.D,"VAIBHAV Fellowship 2023 is an opportunity offered by the Department of Science and Technology, New Delhi to Ph.D/M.D/M.S degree holders. The main aim of this fellowship is to improve the research ecosystem of India’s Higher Educational and Scientific Institutions by facilitating academic and research collaborations between Indian Institutions and the best institutions in the world through mobility of faculty/researcher from overseas institutions to India. The selected candidates will receive USD 5,000 and other benefits.",https://dst.gov.in/news/vaibhav-fellowships ,Private
41,Maharashtra,Fulbright-Nehru Doctoral Research Fellowships,all ,0,Professional or non-professional,Fulbright-Nehru Doctoral Research Fellowships 2023-24 is an opportunity offered by the United States-India Educational Foundation (USIEF) to Indian scholars who are registered for a Ph.D. programme at an Indian institution. These fellowships are for six to nine months. The applications are invited from applicants in the field of -,  https://www.usief.org.in/Fulbright-Nehru-Doctoral-Research-Fellowships.aspx,Private
42,Maharashtra,Fulbright Nehru Academic and Professional Excellence Fellowships,all ,0,Ph.D. degree,"Fulbright Nehru Academic and Professional Excellence Fellowships 2023-24 is an initiative of the United States-India Educational Foundation (USIEF) for Ph.D./master's degree holders. This fellowship aims to provide Indian faculty, researchers and professionals the opportunity to teach, conduct research or carry out a combination of teaching and research at a U.S. institution. The selected fellows will receive variable awards.", https://www.usief.org.in/Fulbright-Nehru-Academic-Professional-Excellence-Fellowships.aspx,Private
43,Maharashtra,Fulbright Nehru Post Doctoral Fellowships,all ,0,Ph.D. degree or a D.M. degree,Fulbright Nehru Post Doctoral Fellowships 2024-25 is an opportunity offered by the United States-India Education Foundation (USIEF) to Indian faculty and researchers who are in the early stages of their research careers in India. Applications are invited for the following fields only:, https://www.usief.org.in/Fellowships/Fulbright-Kalam-Climate-Fellowship.aspx,Private
44,Maharashtra,Fulbright Kalam Climate Fellowship for Doctoral Research,all ,0,Ph.D. degree,Fulbright Kalam Climate Fellowship for Doctoral Research 2024-25 is an opportunity offered by the United States-India Education Foundation (USIEF) to Ph.D. candidates in India. The objective is to promote further mutual understanding and exchange of knowledge and professional talents – intend to partner to build long-term capacity in the United States and India by engaging scientific and technical research scholars from both countries related to climate research and education. The selected teachers will receive a monthly stipend and other benefits.,https://www.usief.org.in/Fellowships/Fulbright-Kalam-Climate-Fellowship.aspx,Private
45,Maharashtra,Fulbright Kalam Climate Fellowship for Post Doctoral Research,all ,0,Ph.D. or D.M. degree,Fulbright Kalam Climate Fellowship for Post Doctoral Research 2024-25 is an opportunity offered by the United States-India Education Foundation (USIEF) to Indian faculty and researchers. The objective is to provide research opportunities to talented candidates to strengthen their research capabilities. This opportunity will provide access to some of the finest resources in their areas of interest and help in building a long-term collaborative relationship with the faculty and researchers of the United States. The selected teachers will receive a monthly stipend and other benefits., https://www.usief.org.in/Fellowships/Fulbright-Kalam-Climate-Fellowship.aspx ,Private
46,Maharashtra,Technology Translation Award (SERB-TETRA),all ,0,Ph.D. degree,"Technology Translation Award (SERB-TETRA) 2023 is an opportunity offered by the Science and Engineering Research Board (SERB) to Ph.D. or M.D./M.S./M.D.S./M.V.Sc degree holders. It is a new scheme for catalyzing technology translation in an academic setting. SERB-TETRA would be awarded to Principal Investigators (PIs) who have clearly demonstrated the translational potential of their research (patents, etc.) and have established contact with industrial partners for fast-track graduation to a prototype stage and beyond. The selected fellows will receive an award of up to INR 15 lakh per year (without international travel), including overhead.",https://www.serbonline.in/SERB/Tetra ,Private
47,Maharashtra,COLLEGE BOARD INDIA SCHOLARS PROGRAM,all ,0,12 th ,Up to 100% Tuition Fee Scholarships at Leading Universities of India Global Higher Education Alliance Take the SAT at discounted prices in India,https://mahadbtmahait.gov.in/RegistrationLogin/RegistrationLoginn,Private
48,Maharashtra,All India Drawing Competition Youva Masterstroke ,all ,0,10 th,"All India Drawing Competition Youva Masterstroke 2023 is an opportunity offered by Navneet Education Limited (manufacturer of educational books, stationery, general books, and children's books in multiple Indian and foreign languages). This drawing competition is widely known as Youva Master Stroke and it is open to students of Classes from nursery to 10. The competition will be held in three categories. The winners are entitled to receive Youva hampers.", https://masterstroke.navneet.com/competitiondetails.aspx#comphome ,Private
49,Maharashtra,Prodigy Finance-GyanDhan Scholarship,all ,0,M.S. and MBA,"Prodigy Finance-GyanDhan Scholarship 2023 is an opportunity offered by GyanDhan (India’s first education financing marketplace) in partnership with Prodigy Finance*. The main aim of this scholarship is to make higher education accessible to students who want to pursue studies overseas. Under this scheme, financial aid of USD 2,500 (one-time) will be provided to MS and MBA program applicants.",https://www.gyandhan.com/prodigy-scholarship,Private
50,Maharashtra,GyanDhan Scholarship,all ,0,Under graduation,GyanDhan Scholarship 2023 is an opportunity offered by *Gyandhan to financially support postgraduate-level students. The aim of this programme is to provide financial support to those students who are taking an education loan and want to lessen their financial burden. The selected candidate will receive a fixed amount of INR 1 lakh which will be given to the students at the beginning of the academic year., https://www.gyandhan.com/gd-scholarship ,Private
51,Maharashtra,Abel Visiting Scholarship,all ,0,PhD,"Abel Visiting Scholarship 2023 is an opportunity offered by the Commission for Developing Countries (CDC) of the International Mathematical Union (IMU)* and is fully funded by the Abel Prize in Mathematics. The Abel Prize recognises pioneering scientific achievements of PhD degree holders in mathematics. This scholarship program facilitates them to visit an international platform as a research collaborator. The duration of the program is initially one month and an extension could be done as per requirement. The program supports post-doctoral mathematicians in the early stage of their professional careers. Selected candidates will receive a grant of up to EUR 4,400 (USD 5,000) for a month and other benefits.", https://www.mathunion.org/cdc/grants/research-travel-grants/abel-visiting-scholar-program,Private
52,Maharashtra,Arturo Falaschi Postdoctoral Fellowships,all ,0,Ph.D. degree,"Arturo Falaschi Postdoctoral Fellowships, ICGEB, New Delhi 2023 is an opportunity offered by the International Center for Genetic Engineering and Biotechnology (ICGEB) for Ph.D. degree holders. The opportunity is for highly motivated scientists who are wishing to pursue postdoctoral research in a world-class scientific environment. The selected fellows will receive a monthly stipend of US$ 1,590 and other benefits", https://www.icgeb.org/fellowships/arturo-falaschi-postdoctoral-fellowships-2024/ ,Private
53,Maharashtra,Dr. Reddy's Foundation Sashakt Scholarship,all ,0,"B.Tech., M.B.B.S","Dr. Reddy's Foundation Sashakt Scholarship 2023 is an opportunity offered by Dr. Reddy's Foundation (NGO) to encourage young women across India to pursue a career in science. The scholarship is a one-of-its-kind initiative to encourage young women across India to prepare for and pursue a career in science. It provides a level playing ground to girl students, especially from rural India and low socio-economic backgrounds, to get access to quality education in some of India’s best science institutions by offering financial support and mentorship throughout their undergraduate studies. The scholarships are limited to students securing admissions in the 12 specified science colleges. The selected fellows will receive a scholarship worth INR 2.4 lakhs (INR 80,000 per annum) for 3 years of study.", https://wwwsashaktscholarship.org/how-to-apply/,Private
54,Maharashtra,Kind Circle Scholarship for Meritorious Students,all ,600000,All students ,Kind Circle Scholarship for Meritorious Students is an initiative to support academically meritorious students coming from under-privileged section of society to build a foundation for their bright future.,https://scholarshiparena.in/kind-scholarship-for-meritorious-girls-students/ ,Private
